,PPV,merge,prune,PPV,merge,prune,PPV,merge,prune,PPV,merge,prune
Aftershock,62.500357142857155,0.0,0.6,64.58339285714285,1.0,0.6,65.77357142857142,0.0,0.0,65.47660714285713,0.0,0.0
Archipelago,55.05928571428571,0.0,0.0,58.92785714285714,0.6,0.2,57.738214285714285,2.0,0.0,57.43999999999999,1.0,0.6
BigGameHunters,58.63071428571429,0.0,2.0,61.0125,0.0,2.0,61.31000000000001,1.6,1.6,61.60714285714286,0.0,1.8
Caldera,67.85732142857144,0.0,0.8,71.42857142857143,0.0,1.0,72.61892857142857,0.0,0.8,72.61892857142857,0.0,0.8
Circle,79.76125000000002,0.0,0.6,88.39249999999998,1.8,0.0,88.39267857142858,0.0,0.6,88.39285714285714,0.4,0.0
CrescentMoon,53.57107142857143,0.0,1.4,57.44017857142857,0.2,1.4,58.33357142857142,1.2,0.6,56.84553571428571,0.0,1.4
Desolation,57.73785714285714,0.0,0.6,62.79803571428572,1.2,0.0,62.49982142857142,1.8,0.8,63.095,0.4,0.8
EbonLakes,54.463928571428575,0.0,0.8,60.41714285714287,0.8,0.6,58.63053571428571,2.0,0.0,56.84517857142857,0.6,0.2
Entanglement,67.26178571428572,0.0,0.6,68.45267857142858,0.2,0.6,68.45196428571428,0.0,0.6,67.85660714285714,2.0,0.0
Eruption,52.083749999999995,1.8,0.0,55.65571428571429,1.4,0.8,55.95250000000001,0.2,0.6,53.86928571428571,1.6,0.6
Average,60.892732142857156,0.18,0.74,64.91085714285715,0.7200000000000001,0.7199999999999999,64.97017857142858,0.8799999999999999,0.5599999999999999,64.40471428571428,0.6,0.6199999999999999
