Scenario,PPV_1,PPV_2,PPV_3,PPV_4,PPV_5,PPV_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
Aftershock,0.214285714285714,0.229166071428571,0.264880357142857,0.323214285714286,0.394048214285714,0.462157142857143,0.462157142857143,0.865696428571428,1,49,7700,2300
Archipelago,0.202380357142857,0.21875,0.244641071428571,0.299405357142857,0.350426785714286,0.402635714285714,0.402635714285714,0.849701785714286,1,49,6100,1400
BigGameHunters,0.196428571428571,0.211308928571429,0.235117857142857,0.286607142857143,0.35,0.412841071428571,0.412841071428571,0.852305357142857,1,49,4800,1700
Caldera,0.294642857142857,0.357141071428571,0.355358928571429,0.393494642857143,0.460692857142857,0.512932142857143,0.512932142857143,0.877978571428571,1,49,3800,730
CrescentMoon,0.178571428571429,0.244046428571429,0.292857142857143,0.342260714285714,0.381975,0.434523214285714,0.434523214285714,0.858257142857143,1,49,6600,1500
Desolation,0.196428571428571,0.241071428571429,0.285710714285714,0.313392857142857,0.336310714285714,0.369901785714286,0.369901785714286,0.840776785714286,1,49,6600,1800
EbonLakes,0.196428571428571,0.214285714285714,0.267857142857143,0.301785714285714,0.305951785714286,0.343966071428571,0.343966071428571,0.835941071428571,1,49,12000,1900
Entanglement,0.1875,0.244046428571429,0.316958928571429,0.369344642857143,0.402298214285714,0.444726785714286,0.444726785714286,0.861233928571429,1,49,4900,740
Eruption,0.160714285714286,0.223214285714286,0.2485125,0.289285714285714,0.348808928571429,0.418792857142857,0.418792857142857,0.854539285714286,1,49,6600,2300
HotZone,0.273808928571429,0.308035714285714,0.307144642857143,0.324405357142857,0.359694642857143,0.398057142857143,0.398057142857143,0.848205357142857,1,49,7000,1700
Isolation,0.258928571428571,0.297619642857143,0.3392875,0.366071428571429,0.408333928571429,0.455783928571429,0.455783928571429,0.863839285714286,1,49,9200,1600
Legacy,0.111111111111111,0.138888888888889,0.166666666666667,0.212961111111111,0.249205555555556,0.261577777777778,0.261577777777778,0.814816666666667,1,49,7800,1600
OrbitalGully,0.233333333333333,0.25,0.27778,0.308333333333333,0.353333333333333,0.383326666666667,0.383326666666667,0.845826666666667,1,49,16000,2200
Predators,0.258928571428571,0.238094642857143,0.2827375,0.305357142857143,0.352382142857143,0.409014285714286,0.409014285714286,0.852305357142857,1,49,5000,960
Ramparts,0.159090909090909,0.153409090909091,0.171211363636364,0.179925,0.221429545454545,0.279361363636364,0.279361363636364,0.819134090909091,1,49,25000,6600
RedCanyons,0.232142857142857,0.229166071428571,0.275294642857143,0.316964285714286,0.3702375,0.422192857142857,0.422192857142857,0.855653571428571,1,49,7100,1800
Rosewood,0.178571428571429,0.1875,0.2261875,0.294642857142857,0.367857142857143,0.437501785714286,0.437501785714286,0.859005357142857,1,49,9200,2300
Sanctuary,0.196428571428571,0.2202375,0.2232125,0.247321428571429,0.283333928571429,0.346091071428571,0.346091071428571,0.836683928571429,1,49,17000,3500
ShroudPlatform,0.333333333333333,0.307692307692308,0.324784615384615,0.352564102564103,0.38974358974359,0.440171794871795,0.440171794871795,0.86004358974359,1,49,22000,6500
SpaceAtoll,0.160714285714286,0.178571428571429,0.227378571428571,0.2514875,0.258673214285714,0.290180357142857,0.290180357142857,0.822175,1,49,19000,4200
SpaceDebris,0.211308928571429,0.239583928571429,0.2788625,0.316369642857143,0.353146428571429,0.3836125,0.3836125,0.845614285714286,1,49,9500,1800
SteppingStones,0.232142857142857,0.309523214285714,0.388394642857143,0.424107142857143,0.488094642857143,0.539960714285714,0.539960714285714,0.885039285714286,1,49,2800,690
Triskelion,0.25,0.258928571428571,0.244046428571429,0.258928571428571,0.278571428571429,0.3057,0.3057,0.826267857142857,1,49,19000,5000
WarpGates,0.232142857142857,0.267857142857143,0.2857125,0.316964285714286,0.342857142857143,0.383501785714286,0.383501785714286,0.845607142857143,1,49,9900,1900
WatersEdge,0.196428571428571,0.193451785714286,0.217258928571429,0.26875,0.328571428571429,0.4039125,0.4039125,0.851192857142857,1,49,12000,4400
WaypointJunction,0.125,0.160714285714286,0.2202375,0.25,0.314285714285714,0.389880357142857,0.389880357142857,0.847469642857143,1,49,8500,1700
WinterConquest,0.178571428571429,0.232142857142857,0.2738125,0.330357142857143,0.389285714285714,0.431544642857143,0.431544642857143,0.857883928571428,1,49,13000,3500
