Scenario,PPV_1,PPV_2,PPV_3,PPV_4,PPV_5,PPV_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
Aftershock,0.16071428571428573,0.23809464285714285,0.30654642857142855,0.39999999999999997,0.4797607142857143,0.548042857142857,0.548042857142857,0.8703196428571428,1.0089303571428572,7.0,0.02285,267.86823214285715
Archipelago,0.25,0.26785714285714285,0.3392803571428571,0.375,0.4321428571428572,0.4999964285714285,0.4999964285714285,0.8571357142857142,1.0,7.0,0.020942857142857145,385.025775
BigGameHunters,0.16071428571428573,0.125,0.1488,0.2357142857142857,0.3601196428571429,0.44557321428571434,0.44557321428571434,0.8413964285714286,1.0029767857142857,7.0,0.024644642857142858,510.2372178571428
Caldera,0.23214285714285715,0.3125,0.3571410714285715,0.39285714285714285,0.4571428571428572,0.5327392857142857,0.5327392857142857,0.8664982142857143,1.0,7.0,0.02544107142857143,504.4802339285714
Circle,0.5178571428571429,0.5714285714285714,0.6131000000000001,0.6517857142857143,0.6964285714285714,0.7321375,0.7321375,0.9234767857142856,1.0,7.0,0.019587500000000004,289.5893535714286
CrescentMoon,0.23214285714285715,0.21428571428571427,0.2678535714285714,0.33482142857142855,0.38928571428571435,0.45833749999999995,0.45833749999999995,0.8452375,1.0,7.0,0.024414285714285715,332.30873035714285
Desolation,0.21428571428571427,0.23214285714285715,0.29166428571428565,0.35714285714285715,0.4142857142857143,0.48810000000000003,0.48810000000000003,0.8537374999999999,1.0,7.0,0.017467857142857143,258.20716785714285
EbonLakes,0.20535714285714285,0.21725892857142856,0.26101071428571426,0.27801785714285715,0.31977321428571426,0.35919821428571425,0.35919821428571425,0.813342857142857,1.0684535714285714,7.0,0.01660535714285714,325.6065982142857
Entanglement,0.26785714285714285,0.26785714285714285,0.2857125,0.34375,0.39285714285714285,0.44642857142857145,0.44642857142857145,0.8418303571428571,1.0,7.0,0.01592142857142857,273.47371964285713
Eruption,0.15178571428571427,0.16964107142857143,0.22767142857142855,0.2782732142857143,0.34337142857142855,0.4017910714285714,0.4017910714285714,0.8260964285714285,1.0565535714285716,7.0,0.015873214285714286,185.8309678571429
